"S-15-193"
Time (hr),Q+ (ft^3/s),Q- (ft^3/s),V+ (ft^3),V- (ft^3)
.5163814873296931E-04,  0.000000000E+000,  0.000000000E+000,  0.000000000E+000,  0.000000000E+000
.1666666666666667,  0.000000000E+000,  0.000000000E+000,  0.000000000E+000,  0.000000000E+000
.2236759300195614,  1.272416765E+002,  1.904464313E-001,  8.044251471E+003,  4.564408807E+000
.3333333333333333,  4.871430861E+002,  0.000000000E+000,  1.412083942E+005,  5.925885766E+000
.4317981670582464,  5.383841910E+002,  0.000000000E+000,  3.269632559E+005,  5.925885766E+000
.5000000000000000,  5.295395048E+002,  0.000000000E+000,  4.583560037E+005,  5.925885766E+000
.6666666666666666,  4.761182606E+002,  0.000000000E+000,  7.613117838E+005,  5.925885766E+000
.8333333333333334,  4.159481336E+002,  0.000000000E+000,  1.028510799E+006,  5.925885766E+000
1.000000000000000,  3.690766510E+002,  0.000000000E+000,  1.263305195E+006,  5.925885766E+000
1.122912134590446,  3.412216256E+002,  9.582862802E-003,  1.420324408E+006,  7.099842490E+000
1.166666666666667,  3.318766170E+002,  1.023817560E-003,  1.473333717E+006,  7.914989869E+000
1.333333333333333,  2.975159839E+002,  1.632379573E-005,  1.662070185E+006,  8.010916429E+000
1.500000000000000,  2.647614806E+002,  3.167392870E-006,  1.830659981E+006,  8.015371133E+000
1.506780962361190,  2.634973748E+002,  5.529113468E-003,  1.837107593E+006,  8.051897166E+000
1.666666666666667,  2.342577107E+002,  1.586347586E-005,  1.980236666E+006,  8.298675359E+000
1.833333333333333,  2.064208936E+002,  1.056155624E-002,  2.112288820E+006,  9.436964736E+000
1.839882447178272,  2.054116364E+002,  1.265663829E-002,  2.117143468E+006,  9.693907219E+000
2.000000000000000,  1.815977163E+002,  1.154267708E-003,  2.228572249E+006,  1.053158148E+001
2.166666666666667,  1.588884841E+002,  1.944161856E-005,  2.330637557E+006,  1.063616969E+001
2.333333333333333,  1.371542230E+002,  4.667999343E-006,  2.419450082E+006,  1.064193126E+001
2.500000000000000,  1.152486125E+002,  2.059880365E-003,  2.495186845E+006,  1.075233122E+001
2.596353750440103,  1.024744523E+002,  1.204876586E-002,  2.532946005E+006,  1.296865838E+001
2.666666666666667,  9.315300653E+001,  2.956937601E-004,  2.557705139E+006,  1.353359802E+001
2.833333333333333,  7.157492138E+001,  5.610772099E-002,  2.607086945E+006,  2.924296860E+001
3.000000000000000,  5.087012032E+001,  1.784380030E-001,  2.643762648E+006,  8.348344551E+001
3.166666666666667,  3.085572086E+001,  4.823292668E-001,  2.668248151E+006,  2.547951104E+002
3.333333333333333,  1.422648552E+001,  4.997793929E+000,  2.681438433E+006,  1.464963056E+003
3.500000000000000,  2.613181684E+000,  1.355536832E+001,  2.686211137E+006,  7.162531607E+003
3.666666666666667,  2.515932368E-001,  2.174006321E+001,  2.686813341E+006,  1.777054961E+004
