Reservoir 1
Time (hr),Reservoir Elevation (ft),Reservoir Volume (ac-ft)
5.163814873296931e-05,62.7999981496063,610.4099434056403
0.1666666666666667,61.70819971784776,527.1744894746118
0.3333333333333333,61.34945683070866,495.59198385546586
0.5,61.08467547244095,474.23554168629687
0.6666666666666666,60.85783187007874,457.0768959350802
0.8333333333333334,60.656303815616795,442.6816694638221
1.0,60.47528129265091,430.4185658542951
1.166666666666667,60.31124162729659,419.8856646123759
1.333333333333333,60.16264090223097,410.78183634669625
1.5,60.03083904855644,402.7657131045476
1.666666666666667,59.912535820209975,395.6121342918983
1.833333333333333,59.80540440616797,389.1679342908653
2.0,59.70760475065617,383.3141092193777
2.166666666666667,59.61776395997375,377.96329285530516
2.333333333333333,59.53482991141732,373.04704758423077
2.5,59.457932824803144,368.5095734095751
2.666666666666667,59.386436433727035,364.30958091161824
2.833333333333333,59.31983354002624,360.4139368372611
3.0,59.257684648950125,356.7936829788818
3.166666666666667,59.199613700787395,353.42475342833086
3.333333333333333,59.14530605643044,350.2869867639599
3.5,59.09449905183727,347.3628096370085
3.666666666666667,59.04698758530184,344.6393455860443
3.833333333333333,59.00244444553805,342.096798222408
4.0,58.960514511154855,339.7126369382023
4.166666666666667,58.920866125328075,337.46739600317017
4.333333333333333,58.88324469160105,335.34558075179274
4.5,58.84745447834646,333.335023811251
4.666666666666667,58.81332503608924,331.4252103277799
4.833333333333333,58.78072840551181,329.60745445587906
5.0,58.749508645013115,327.8727421317285
5.166666666666667,58.71955442585302,326.2148610275044
5.333333333333333,58.69078807414699,324.62760284706366
5.5,58.6631698687664,323.1046762798001
5.666666666666667,58.636612654199475,321.64035133535566
5.833333333333333,58.61104925524934,320.23082079839514
6.0,58.58641884186351,318.87274296689833
6.166666666666667,58.562660790682415,317.5627937313612
6.333333333333333,58.5397199507874,316.2979013596899
6.5,58.51755457349081,315.07576203439146
6.666666666666667,58.49610751968503,313.8932420791573
6.833333333333333,58.475332788713914,312.7477540279636
7.0,58.455196909448816,311.6375749411867
7.166666666666667,58.43567665026247,310.5612839083584
7.333333333333333,58.41673904855643,309.5171175458699
7.5,58.39835824475066,308.50367025477715
7.666666666666667,58.38050709317585,307.5194199880186
7.833333333333333,58.363156564960626,306.5627705727294
8.0,58.34628687664042,305.63263928944195
8.166666666666666,58.32987875656168,304.7279541188726
8.333333333333334,58.313906656824145,303.84731309637493
8.5,58.298357778871384,302.990002886779
8.666666666666666,58.28321087926509,302.1548576163474
8.833333333333334,58.26845137139108,301.3410872334273
9.0,58.25406745734908,300.54800596368443
9.166666666666666,58.24004054790026,299.77461530551176
